gene_id	gene_name	SRR8521732	SRR8521733	SRR8521735	SRR8521737	SRR8521738	SRR8521656	SRR8521658	SRR8521673	SRR8521679	SRR8521683	SRR8521692	SRR8521696	SRR8521702	SRR8521723	SRR8521662	SRR8521675	SRR8521677	SRR8521694	SRR8521698	SRR8521700	SRR8521706	SRR8521666	SRR8521668	SRR8521670
ENSG00000283819	MIR144	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283821	MIR6875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283822	MIR639	0	0	0.24	0.48	0	0	0	1.98	0	0	0	0.4	0.26	0	0	0	0	0	0	0	0	0	0	3.41
ENSG00000283824	MIR22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283828		0	0	0.13	0.04	0	0	0	0	0	0	0	0	0.03	0.13	0.45	0	0	0.01	0.03	0	0	0	0	0.36
ENSG00000283829	MIR378I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283836	MIR6734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283839		16.95	10.8	13.25	9.17	6.93	12.75	45.52	15.73	34.25	43.63	10.49	73.8	10.1	9.35	7.44	14.16	25.26	2.85	0.12	22.87	2.45	6.15	0.75	3.57
ENSG00000283840	MIR6764	0	0	0	0	1.76	2.47	4.04	0	0	0	5.14	4.03	3.88	0	0	5.36	1.44	0	5.22	0.06	0	0	0	0
ENSG00000283842	MIR4751	4.85	2.07	3.27	2.17	5.84	3.54	1.58	3.91	6.27	4.48	0	3.07	0.14	5.37	2.58	2.07	10.26	0	0.02	3.47	9.32	4.65	0	0
ENSG00000283844	MIR214	0	0	0	0	0	0	1.95	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
ENSG00000283845	MIR4721	0	0	0	0.68	0	0	0	0	0	0	0	0	2.04	1.13	0	0	0	0	0	0	0	0	0	0
ENSG00000283848	MIR6872	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39
ENSG00000283849		0.03	0.04	0.07	0.07	0.02	0.07	0.08	0.05	0.04	0.07	0	0.11	0.04	0.04	0.18	0.02	0.01	0	0.19	0.09	0.05	0.07	0.26	0.06
ENSG00000283853	MIR4738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	1.07	0	0	0	0
ENSG00000283856	MIR7703	0	0	0	0	0	0	0.55	0	0	0	0	0	0.18	0.7	0	0	0	0	0	0	2.8	0.62	0	0
ENSG00000283857	MIR1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283858	MIR3674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
